user;sizediff
1;03jansa;42061
2;8kart;2440
3;Ahsoous;72768
4;AinAnepaio;11699
5;AnonüümneLeemur;27437
6;Astromaailm;26918
7;Athanasius Soter;26687
8;Avetoelpt;2379
9;Avjoska;19668
10;Daniel charms;3492
11;Domini4kanna;24936
12;Epp;242417
13;Estonianstudents;5530
14;Evelyn111090;14413
15;Geonarva;15092
16;Helen Verev;7428
17;Hs1802;4350
18;Juhan121;8687
19;Krr005;301076
20;Kuuskinen;58585
21;Maareti;49914
22;Mari203;31258
23;Marken.raudnagel;1207
24;Mesimumm;31137
25;Metsavend;12938
26;Morel;29420
27;Nefjool;124671
28;Njosnavelin;539318
29;Ottosson74;3267
30;Roosinomm;4208
31;Sacerdos79;803851
32;Sjur;714
33;Teilolondon;4383
34;Tkivisik;21205
35;Viisaar;10768
