user;absdiff
1;03jansa;42143
2;70258mls;16856
3;8kart;2890
4;Adeliine;45380
5;Ahsoous;73476
6;Aiatee;3089
7;AinAnepaio;12835
8;AllanPH;15348
9;Andres;33250
10;AnonüümneLeemur;26142
11;Astromaailm;28874
12;Athanasius Soter;26717
13;Avetoelpt;2379
14;Avjoska;25331
15;Daniel charms;909
16;Determist;79303
17;Domini4kanna;24988
18;Epp;279422
19;Estonianstudents;5954
20;Evelyn111090;14413
21;Geonarva;15120
22;Helen Verev;4773
23;Hs1802;4350
24;Idaeurooplane;41609
25;Juhan121;77309
26;Kaspaar;5546
27;Kenevernik;21483
28;Kilpkonnake;6423
29;Krr005;296541
30;Kuuskinen;59822
31;Maareti;126587
32;Mari203;32502
33;Marken.raudnagel;1207
34;Melilac;158684
35;Mesimumm;31179
36;Metsavend;33087
37;Mona;64920
38;Morel;40220
39;Nefjool;124933
40;Neleu;8460
41;Njosnavelin;606337
42;Ottosson74;3267
43;PB Madis;494
44;PB Madli;3072
45;Postituvi;120198
46;Roosinomm;4444
47;Sacerdos79;1018722
48;SinineKaelkirjak;12904
49;Sjur;714
50;StenP;763
51;Teilolondon;4645
52;Tkivisik;22786
53;TKtahi;4397
54;Vahutavmeri;5567
55;Viisaar;13390
56;VillaK;35501
